product_title,product_image,price,pack_size,price_per_unit
LACURA® Revive Intensive Serum Hyaluronic Gel 30ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_EXISTING_PD_388x314_13.jpg,$12.99,,$43.30 per 100ml
Mamia Baby Wipes 480pk Fragance free,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2021/ALN3248_Q1_WEB-AUDIT___BABY__PD_388x314_5.jpg,$9.99,,$2.08 per 100 wipes
Mamia Baby Wipes 80pk Fragrance Free,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2021/ALN3248_Q1_WEB-AUDIT___BABY__PD_388x314_2.jpg,$2.29,,$2.86 per 100 wipes
Mamia Baby Wipes 80pk Scented,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2021/ALN3248_Q1_WEB-AUDIT___BABY__PD_388x314_1.jpg,$2.29,,$2.86 per 100 wipes
MAMIA®Unisex Night Pants 10pk/9pk,,$10.99,10pk/9pk,$1.10/$1.22 per pant
Mamia Organic Raspberry Mini Rice Cakes 40g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2022/Q2/1001137-2_ALN_Q2_WEB_AUDIT_PD_388x314_9.jpg,$2.99,,$7.48 per 100g
Mamia Organic Apple Mini Rice Cakes 40g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2022/Q2/1001137-2_ALN_Q2_WEB_AUDIT_PD_388x314_10.jpg,$2.99,,$7.48 per 100g
Mamia Fruit & Oat Bars 90g - Apricot 12+ Months,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2021/ALN3354_Q2-WEB-AUDIT_PD_388x314_41.jpg,$2.69,,2.99 per 100g
Mamia Fruit & Oat Bars 90g - Apple & Raisin with Yogurt 12+ Months,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2021/ALN3354_Q2-WEB-AUDIT_PD_388x314_40.jpg,$2.69,,$2.99 per 100g
Mamia Fruit & Oat Bars 90g - Strawberry 12+ Months,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2021/ALN3354_Q2-WEB-AUDIT_PD_388x314_39.jpg,$2.69,,2.99 per 100g
